Product Name,Price,Rating,Number of Ratings,Number of Reviews,Review Summary,Review Details
"Nokia C32 (Charcoal, 64 GB)","₹7,279",3.8,952,92,Terrific purchase,Nice 👍
"Nokia C32 (Charcoal, 64 GB)","₹7,279",3.8,952,92,Terrible product,Waste product
"Nokia C32 (Charcoal, 64 GB)","₹7,279",3.8,952,92,Wonderful,"Average phone,  very slow"
"Nokia C32 (Charcoal, 64 GB)","₹7,279",3.8,952,92,Super!,Poor performance. Hangs often
"Nokia C32 (Charcoal, 64 GB)","₹7,279",3.8,952,92,Nice,Nice product
"Nokia C32 (Charcoal, 64 GB)","₹7,279",3.8,952,92,Not recommended at all,Battery charge down quickly
"Nokia C32 (Charcoal, 64 GB)","₹7,279",3.8,952,92,Good quality product,Super 👍 mobile hai
"Nokia C32 (Charcoal, 64 GB)","₹7,279",3.8,952,92,Absolute rubbish!,I  LIKE IT.
"Nokia C32 (Charcoal, 64 GB)","₹7,279",3.8,952,92,Good quality product,Excellent mobile
"Nokia C32 (Beach pink, 64 GB)","₹7,289",3.8,952,92,Expected a better product,Phone keeps hanging every now and then and also the battery gets discharged very quickly..very worse and disappointed purchase...
"Nokia C32 (Beach pink, 64 GB)","₹7,289",3.8,952,92,Terrific purchase,Nice 👍
"Nokia C32 (Beach pink, 64 GB)","₹7,289",3.8,952,92,Terrible product,Waste product
"Nokia C32 (Beach pink, 64 GB)","₹7,289",3.8,952,92,Wonderful,"Average phone,  very slow"
"Nokia C32 (Beach pink, 64 GB)","₹7,289",3.8,952,92,Super!,Poor performance. Hangs often
"Nokia C32 (Beach pink, 64 GB)","₹7,289",3.8,952,92,Nice,Nice product
"Nokia C32 (Beach pink, 64 GB)","₹7,289",3.8,952,92,Not recommended at all,Battery charge down quickly
"Nokia C32 (Beach pink, 64 GB)","₹7,289",3.8,952,92,Good quality product,Super 👍 mobile hai
"Nokia C32 (Beach pink, 64 GB)","₹7,289",3.8,952,92,Absolute rubbish!,I  LIKE IT.
"Nokia C32 (Beach pink, 64 GB)","₹7,289",3.8,952,92,Good quality product,Excellent mobile
"Nokia C32 (MINT, 64 GB)","₹7,599",3.8,952,92,Expected a better product,Phone keeps hanging every now and then and also the battery gets discharged very quickly..very worse and disappointed purchase...
"Nokia C32 (MINT, 64 GB)","₹7,599",3.8,952,92,Terrific purchase,Nice 👍
"Nokia C32 (MINT, 64 GB)","₹7,599",3.8,952,92,Terrible product,Waste product
"Nokia C32 (MINT, 64 GB)","₹7,599",3.8,952,92,Wonderful,"Average phone,  very slow"
"Nokia C32 (MINT, 64 GB)","₹7,599",3.8,952,92,Super!,Poor performance. Hangs often
"Nokia C32 (MINT, 64 GB)","₹7,599",3.8,952,92,Nice,Nice product
"Nokia C32 (MINT, 64 GB)","₹7,599",3.8,952,92,Not recommended at all,Battery charge down quickly
"Nokia C32 (MINT, 64 GB)","₹7,599",3.8,952,92,Good quality product,Super 👍 mobile hai
"Nokia C32 (MINT, 64 GB)","₹7,599",3.8,952,92,Absolute rubbish!,I  LIKE IT.
"Nokia C32 (MINT, 64 GB)","₹7,599",3.8,952,92,Good quality product,Excellent mobile
